station_year,sens_whole,sens_diff_winter,sens_diff_spring,sens_diff_summer,sens_diff_fall,point_whole,point_diff_winter,point_diff_spring,point_diff_summer,point_diff_fall,pop_whole,pop_diff_winter,pop_diff_spring,pop_diff_summer,pop_diff_fall,gee_whole,gee_diff_winter,gee_diff_spring,gee_diff_summer,gee_diff_fall,resp_whole,resp_diff_winter,resp_diff_spring,resp_diff_summer,resp_diff_fall,anthro_whole,anthro_diff_winter,anthro_diff_spring,anthro_diff_summer,anthro_diff_fall
ARR_2007,7.124527347740887,-43.41782244126626,-23.827287432703116,92.89252245191207,-26.883490132453417,0.11843762766170654,22.155026707752626,-13.159576264922606,-20.970002293125674,12.593063996073695,3291.3730018316965,2.9862739698589706,-23.511975728387696,-1.1392163723893702,21.96862654927665,-1.7237235732874023,-98.7494456943136,-65.60465035905418,216.6805105472896,-55.07174752559825,1.3458533146925669,-79.91492342865277,-58.497685665533396,155.79841520813034,-19.333230871869986,0.34726138167212417,24.51024012475243,-10.543014460149664,-27.147580876638386,13.863880876448206
BAL_2011,12.208174795361407,-54.07131137040827,71.14177597002137,17.52851607462955,-36.167569722759715,0.9269178423133262,-9.925415501965318,-21.227425669222995,-11.900750821440113,43.30856738810854,27429.68449795511,-14.899100301233673,-15.988610523553945,-7.216773110188512,38.195761773794885,-4.354604745226665,-97.37992457020142,-36.2689735129918,156.00318697377452,-24.740158539273466,3.6081428057395444,-69.63478799274091,-21.446031145601893,74.73515493873887,14.994851982176712,2.6270804866363475,-3.8742544174290288,-2.123403099576805,-22.98210779906465,29.213075826852958
BAL_2008,8.796938040589387,-25.621288234245398,55.136042495080005,9.248744560753437,-39.471023954069885,0.7897627004579536,47.24297842226258,-26.995522753429086,-26.60771553074933,6.949306436467182,23253.326969708633,41.68299236686613,-15.798458694418457,-26.269658891327595,0.8474122253166314,-2.818686356109228,-91.57759919719362,-3.0892415101876622,127.1778167052041,-33.87458671425152,2.6836935867323475,-42.33060187625244,2.4287566098983575,36.368585467812125,3.1069153801055194,2.320303050254787,49.614336856645906,-10.626556483274967,-39.669431615973195,1.2343544085281053
BAL_2007,11.695268970692576,-44.48486315162664,61.76914632667365,33.16077918732415,-51.97709300704833,0.7796708936799132,21.549515241625116,0.41614523831611905,-19.02144102638094,-2.5029577938932874,24304.114088600207,11.327939662198915,15.859740850398978,-13.904316763237404,-13.180369072711812,-4.279475908019606,-96.37668451450402,3.250406422006648,142.79224673659115,-52.32991740973223,3.674018420474125,-64.32349416536744,19.579069877758542,70.69596062077616,-27.650421219583748,2.7143008366675385,14.934400671066868,19.868207584291127,-12.714598924552405,-22.00250612188988
BAL_2012,10.629287606305635,-48.26020409284646,62.2392369209463,27.31610867826386,-42.2792661832781,0.8136543129783051,-7.087191187110207,-21.350571576354398,-11.866451222240173,40.66923621426071,24734.725682381864,-21.2162960597079,-4.996064922020011,-2.618734264271154,28.91477435793638,-3.8696306510944987,-97.39870581396032,-12.747727622220268,147.63834920020295,-38.97423028685733,3.1341622714108732,-70.80725408367121,-0.30183947746240847,61.63280159764244,8.802325346785864,2.244390822102905,-1.0580234950185172,-2.764531718912721,-21.64163443808866,25.73238928011881
BAL_2010,11.428522429717907,-39.41891735502819,49.28646252543834,33.71361448999747,-44.926423334808355,0.8345122114467296,18.189418831269805,-9.859034648639025,-12.459026785691634,4.573779748836742,26035.989456977208,4.631236915191522,-1.5547245707445398,0.05037971171523736,-3.059468080621329,-3.7832707883251686,-98.05226869960471,-26.217618733375133,155.3017706468847,-33.52788783602698,3.497439564203039,-67.54331211281522,-11.029711742905064,86.01321113126227,-9.006415973357107,2.6020642751417324,25.38681980521369,2.3971871099832924,-24.80653516408023,-2.452239137278184
BAL_2009,10.511834937969214,-33.189666541825986,60.09952139351364,14.530387229176455,-42.62507257717749,0.7677893014314818,38.735567446120115,-15.438619775691592,-33.298405797461555,10.962695412959206,24062.791821460287,29.230402704269352,1.8154664637126388,-30.17566100078956,-0.23734446124349518,-3.3175247586503054,-95.57922502559691,-15.198405132777737,154.86208051793082,-46.66953717725677,3.0423869909525636,-51.37260614812904,5.186906851339671,47.87184697142504,-2.833745036953175,2.3614691782206014,36.641854090753014,9.965128164543643,-42.112406655955546,-3.738651065471217
BAN112_2019,5.885177102793733,19.779700927904514,-20.135289582291392,-11.221685058994865,12.139215203153014,0.9237830169902715,15.60840102616811,-4.798027142409538,-13.190564156111648,2.749387990206742,103585.35137083025,22.110753733686977,-25.286012351426976,-11.969252430882207,15.796884878468418,-8.313343883989525,-85.31365684883848,-26.932886457536455,127.2325343345118,-17.02569767347552,5.8900377678518705,-52.80804427040723,-37.39007316344433,75.90017735802704,13.294443938846598,5.252378378079676,39.02651310255908,-21.017530879145085,-32.85010217856707,15.861934748123119
BGU_2011,11.486510110370034,-17.323632445236626,14.09548495712339,10.394675463142903,-7.626020204320852,0.6839485947289182,-4.872482169951553,25.54497046424396,-26.06270911952481,5.342366500895352,98559.51124218675,12.407503969855497,3.293932960190233,-7.24077652232215,-8.280942302976555,-5.15492177167236,-69.44054355975368,34.05641985897893,61.66684122804196,-28.097704391517425,7.310531162008484,-32.63431384815752,-8.802505935637072,25.51514794613456,15.37939759745501,3.318145384186001,21.82065739348802,10.896736014293566,-31.272259190680444,-0.9814399251244765
BGU_2008,10.112334587284266,-18.790435511873852,1.7442781252436959,31.666442487958903,-14.987435877298012,0.5629981665329574,-6.864169265458102,-14.834961197815105,5.298984233558016,16.504937185366188,84641.75327486718,-11.334568657478329,-7.1610461664568135,32.46153272906409,-14.243945229992676,-4.94111035127067,-75.83652327873313,-3.605864788561675,109.8437617109191,-31.568823060353452,5.913739145183717,-40.116167564472335,-25.032710397370977,67.44699540729374,-2.7642084895155534,3.0915737118381923,8.645040363338836,-9.779928986786445,1.1712822468773254,0.05820689019577685
BGU_2007,11.524285382233575,-11.985727460717115,20.22333284387119,13.477009058529731,-22.21665915995969,0.7466193120533406,-6.167143761009115,14.242456187942793,-3.853733807483067,-4.403511214411708,91979.01717847337,22.77927040977457,-2.862310458224968,14.115456439575723,-33.9057556831207,-5.483317965138558,-64.65375862912956,28.50091829943284,63.61843840321811,-29.188379560683842,6.675890363703857,-21.14615845826613,0.11455983151635962,28.609759483212002,-8.126188084736924,3.7369026370272196,26.484395881707968,4.6626549169030795,-11.627360351408583,-19.152117905266024
BGU_2012,10.923332398176589,-23.993674724025908,18.583618565306153,13.81341989007845,-8.7593751429564,0.6356691038995977,-1.3645221834963053,16.445644692196197,-24.312134536194506,9.31745697083521,92201.47462908042,7.8570938333214,11.748352408648643,-13.182326522704969,-6.407361761967735,-4.310795135978963,-69.56923078811587,14.874139142661974,76.85125583162062,-23.1641355595105,6.028928448954216,-33.98319563613889,0.5869761890434688,25.216977994192916,7.8956815168229895,3.051087197379588,21.194325650078397,13.356182130890275,-34.81543329892466,0.500741464857569
BGU_2010,9.991081269475702,-25.751261299396376,9.3642041144453,27.414495084503415,-11.714580322611027,0.6740180701530212,7.722859455394257,16.910848431487068,-11.5427807402899,-13.065050314017881,90625.28548132842,-18.064345949013244,10.83283120771921,18.442563390304187,-11.731265578098714,-4.651674050995559,-83.42348056607847,13.714667490335316,103.70091301496552,-36.199122588358414,6.2162535619492765,-59.076283470367216,-8.62105796617243,70.73558667814467,-4.3700124084439835,3.1692209303388426,9.48093218762547,12.646122932030309,-13.47496761875962,-8.538793249529633
BGU_2009,11.359880644989213,-36.59553032708997,13.618694168995987,33.84605020378763,-11.792953328109789,0.7012597955636203,-2.508401343370153,2.686990325101803,-19.280382430426272,19.25657356695791,96497.57663780321,-24.17524967000105,-1.5902627340998947,26.014634008161934,-0.7831833726772146,-5.087018995369686,-82.59972975224031,4.991852691491204,91.89911793058724,-16.26366614867679,7.106720068338805,-57.75675678543706,-24.379189914673674,66.85220857822583,14.182312018049842,3.4356658537601135,-0.2618851264165727,3.6241592790865695,-11.800984553110311,8.525687764699711
